"Id","Country","Year","disaster","deaths"
1,"Afghanistan",1900,"drought",0
2,"Afghanistan",1900,"earthquakes",0
3,"Afghanistan",1900,"floods",0
4,"Afghanistan",1900,"fog",0
5,"Afghanistan",1900,"glacialLake",0
6,"Afghanistan",1900,"landslides",0
7,"Afghanistan",1900,"massMovements",0
8,"Afghanistan",1900,"storms",0
9,"Afghanistan",1900,"temperatures",0
10,"Afghanistan",1900,"volcanic",0
11,"Afghanistan",1900,"wildfires",0
12,"Afghanistan",1910,"drought",0
13,"Afghanistan",1910,"earthquakes",0
14,"Afghanistan",1910,"floods",0
15,"Afghanistan",1910,"fog",0
16,"Afghanistan",1910,"glacialLake",0
17,"Afghanistan",1910,"landslides",0
18,"Afghanistan",1910,"massMovements",0
19,"Afghanistan",1910,"storms",0
20,"Afghanistan",1910,"temperatures",0
21,"Afghanistan",1910,"volcanic",0
22,"Afghanistan",1910,"wildfires",0
23,"Afghanistan",1920,"drought",0
24,"Afghanistan",1920,"earthquakes",0
25,"Afghanistan",1920,"floods",0
26,"Afghanistan",1920,"fog",0
27,"Afghanistan",1920,"glacialLake",0
28,"Afghanistan",1920,"landslides",0
29,"Afghanistan",1920,"massMovements",0
30,"Afghanistan",1920,"storms",0
31,"Afghanistan",1920,"temperatures",0
32,"Afghanistan",1920,"volcanic",0
33,"Afghanistan",1920,"wildfires",0
34,"Afghanistan",1930,"drought",0
35,"Afghanistan",1930,"earthquakes",0
36,"Afghanistan",1930,"floods",0
37,"Afghanistan",1930,"fog",0
38,"Afghanistan",1930,"glacialLake",0
39,"Afghanistan",1930,"landslides",0
40,"Afghanistan",1930,"massMovements",0
41,"Afghanistan",1930,"storms",0
42,"Afghanistan",1930,"temperatures",0
43,"Afghanistan",1930,"volcanic",0
44,"Afghanistan",1930,"wildfires",0
45,"Afghanistan",1940,"drought",0
46,"Afghanistan",1940,"earthquakes",0
47,"Afghanistan",1940,"floods",0
48,"Afghanistan",1940,"fog",0
49,"Afghanistan",1940,"glacialLake",0
50,"Afghanistan",1940,"landslides",0
51,"Afghanistan",1940,"massMovements",0
52,"Afghanistan",1940,"storms",0
53,"Afghanistan",1940,"temperatures",0
54,"Afghanistan",1940,"volcanic",0
55,"Afghanistan",1940,"wildfires",0
56,"Afghanistan",1950,"drought",0
57,"Afghanistan",1950,"earthquakes",210
58,"Afghanistan",1950,"floods",5.1
59,"Afghanistan",1950,"fog",0
60,"Afghanistan",1950,"glacialLake",0
61,"Afghanistan",1950,"landslides",0
62,"Afghanistan",1950,"massMovements",0
63,"Afghanistan",1950,"storms",0
64,"Afghanistan",1950,"temperatures",0
65,"Afghanistan",1950,"volcanic",0
66,"Afghanistan",1950,"wildfires",0
67,"Afghanistan",1960,"drought",0
68,"Afghanistan",1960,"earthquakes",0
69,"Afghanistan",1960,"floods",10.7
70,"Afghanistan",1960,"fog",0
71,"Afghanistan",1960,"glacialLake",0
72,"Afghanistan",1960,"landslides",0
73,"Afghanistan",1960,"massMovements",0
74,"Afghanistan",1960,"storms",0
75,"Afghanistan",1960,"temperatures",0
76,"Afghanistan",1960,"volcanic",0
77,"Afghanistan",1960,"wildfires",0
78,"Afghanistan",1970,"drought",0
79,"Afghanistan",1970,"earthquakes",6.1
80,"Afghanistan",1970,"floods",32.1
81,"Afghanistan",1970,"fog",0
82,"Afghanistan",1970,"glacialLake",0
83,"Afghanistan",1970,"landslides",10
84,"Afghanistan",1970,"massMovements",0
85,"Afghanistan",1970,"storms",0
86,"Afghanistan",1970,"temperatures",0
87,"Afghanistan",1970,"volcanic",0
88,"Afghanistan",1970,"wildfires",0
89,"Afghanistan",1980,"drought",0
90,"Afghanistan",1980,"earthquakes",51.3
91,"Afghanistan",1980,"floods",0
92,"Afghanistan",1980,"fog",0
93,"Afghanistan",1980,"glacialLake",0
94,"Afghanistan",1980,"landslides",7
95,"Afghanistan",1980,"massMovements",0
96,"Afghanistan",1980,"storms",0
97,"Afghanistan",1980,"temperatures",0
98,"Afghanistan",1980,"volcanic",0
99,"Afghanistan",1980,"wildfires",0
100,"Afghanistan",1990,"drought",0
101,"Afghanistan",1990,"earthquakes",742.6
102,"Afghanistan",1990,"floods",199
103,"Afghanistan",1990,"fog",0
104,"Afghanistan",1990,"glacialLake",0
105,"Afghanistan",1990,"landslides",73.9
106,"Afghanistan",1990,"massMovements",0
107,"Afghanistan",1990,"storms",1
108,"Afghanistan",1990,"temperatures",22.4
109,"Afghanistan",1990,"volcanic",0
110,"Afghanistan",1990,"wildfires",0
111,"Afghanistan",2000,"drought",3.7
112,"Afghanistan",2000,"earthquakes",123.6
113,"Afghanistan",2000,"floods",116.3
114,"Afghanistan",2000,"fog",0
