"Year","Average_TempAb","SD"
1880,-0.171666666666667,0.0542441171227281
1881,-0.0883333333333333,0.105557682062578
1882,-0.114166666666667,0.155823812705442
1883,-0.175,0.09
1884,-0.285,0.0948204044017378
1885,-0.336666666666667,0.123091490979333
1886,-0.3175,0.0982691110258874
1887,-0.366666666666667,0.140410653139822
1888,-0.1775,0.143344784602466
1889,-0.109166666666667,0.161777531496094
1890,-0.355833333333333,0.0725457013742288
1891,-0.229166666666667,0.107994809078394
1892,-0.28,0.10251385715644
1893,-0.315,0.189376968936659
1894,-0.318333333333333,0.0975922252243611
1895,-0.2375,0.111935452179126
1896,-0.110833333333333,0.106724652799395
1897,-0.106666666666667,0.064007575309253
1898,-0.274166666666667,0.118126152391365
1899,-0.18,0.14709304414677
1900,-0.0808333333333333,0.106297894730998
1901,-0.153333333333333,0.0992089927497716
1902,-0.278333333333333,0.0840814900539766
1903,-0.366666666666667,0.132276111588486
1904,-0.470833333333333,0.122508503106247
1905,-0.2625,0.130462464124569
1906,-0.2225,0.0844366357367787
1907,-0.383333333333333,0.0868994542647717
1908,-0.425833333333333,0.0726709061871435
1909,-0.4875,0.117328210976342
1910,-0.436666666666667,0.0971721371712295
1911,-0.445,0.144631192410841
1912,-0.360833333333333,0.15529785652875
1913,-0.344166666666667,0.12413030787577
1914,-0.15,0.103572548135463
1915,-0.1375,0.0944962721727448
1916,-0.3575,0.179094946885723
1917,-0.455,0.165227116418583
1918,-0.294166666666667,0.129576817043604
1919,-0.275,0.0914032026492806
1920,-0.271666666666667,0.0809975682388432
1921,-0.185833333333333,0.0879522942316234
1922,-0.28,0.0900504908875621
1923,-0.260833333333333,0.129506639586431
1924,-0.265,0.0923924436107393
1925,-0.215,0.146131945359478
1926,-0.1075,0.159152585447254
1927,-0.215833333333333,0.11065575886368
1928,-0.198333333333333,0.101339513368167
1929,-0.359166666666667,0.140548169247372
1930,-0.155833333333333,0.12837858312842
1931,-0.0933333333333333,0.0834847109936722
1932,-0.158333333333333,0.124084526420379
1933,-0.2825,0.0625408957112355
1934,-0.12,0.103044562293125
1935,-0.195833333333333,0.136412365030936
1936,-0.143333333333333,0.115548756598741
1937,-0.0258333333333333,0.0924866902791309
1938,0.00166666666666667,0.102499076122961
1939,-0.015,0.150966582696003
1940,0.125,0.0747723818726479
1941,0.186666666666667,0.0888648957517517
1942,0.0666666666666667,0.0890692614392492
1943,0.0908333333333333,0.102288214315623
1944,0.205833333333333,0.0833893750953194
1945,0.095,0.096718899159086
1946,-0.0725,0.127502228144524
1947,-0.0233333333333333,0.071393064768013
1948,-0.105,0.0867074496117941
1949,-0.110833333333333,0.0831710541139419
1950,-0.1725,0.0908670357270346
1951,-0.0683333333333333,0.172986249234563
1952,0.0108333333333333,0.0731695830163592
1953,0.0791666666666667,0.0609706834669273
1954,-0.133333333333333,0.0887625364598595
1955,-0.140833333333333,0.128943844953977
1956,-0.19,0.0745897872609673
1957,0.0483333333333333,0.083756501330652
1958,0.0608333333333333,0.127952997999147
1959,0.0308333333333333,0.0832802861462787
1960,-0.025,0.141774468787578
1961,0.0566666666666667,0.0897808780342789
1962,0.0308333333333333,0.0569622416140461
1963,0.0541666666666667,0.11912242238618
1964,-0.198333333333333,0.105039675043925
1965,-0.106666666666667,0.0486795333759165
1966,-0.0575,0.082915619758885
1967,-0.0233333333333333,0.0881458845874098
1968,-0.0833333333333333,0.123017613914973
1969,0.0525,0.121888548198008
1970,0.0258333333333333,0.0928790350483636
1971,-0.0816666666666667,0.0537389875963326
1972,0.00833333333333333,0.116059023646147
1973,0.16,0.123140717732342
1974,-0.07,0.0827921823274725
1975,-0.0125,0.118867764572846
1976,-0.0983333333333333,0.0960902353693305
1977,0.179166666666667,0.102643100404294
1978,0.0683333333333333,0.0851558286408814
1979,0.165833333333333,0.146873992581974
1980,0.26,0.0747115665865613
1981,0.3225,0.124836256388482
1982,0.140833333333333,0.106297894730998
1983,0.315,0.114851683012958
1984,0.156666666666667,0.114441992716702
1985,0.1175,0.0698212002188447
1986,0.18,0.0956318699255355
1987,0.3225,0.0812543705118237
1988,0.39,0.114017542509914
1989,0.2725,0.0863528701423304
1990,0.45,0.136048119829312
1991,0.405833333333333,0.0856481526981526
1992,0.2225,0.173421451960246
1993,0.2325,0.106696255365832
1994,0.315,0.117898261225516
1995,0.446666666666667,0.135735929010128
1996,0.330833333333333,0.0861772310504065
1997,0.465,0.11965860528262
1998,0.608333333333333,0.142116043066818
1999,0.384166666666667,0.0979293189762469
2000,0.395,0.115167861678666
2001,0.536666666666667,0.0738959136935599
2002,0.628333333333333,0.126550983856908
2003,0.62,0.0865500380757229
2004,0.536666666666667,0.140992155380319
2005,0.676666666666667,0.0585170267891528
2006,0.638333333333333,0.104692913134586
2007,0.666666666666667,0.133915396177338
2008,0.544166666666667,0.128520131662025
2009,0.659166666666667,0.0769247960180867
2010,0.726666666666667,0.128157100561157
2011,0.6125,0.0786389910228438
2012,0.65,0.113137084989848
2013,0.6775,0.0796726256171294
2014,0.7475,0.106611017680674
2015,0.898333333333333,0.1393382629257
2016,1.01666666666667,0.193922821261606
2017,0.921666666666667,0.132653570238308
2018,0.846666666666667,0.0710100291678876
2019,0.976666666666667,0.0861640436855329
2020,1.01583333333333,0.142475409893225
2021,0.845833333333333,0.0966209400730818
2022,0.8925,0.0854001277410158
2023,1.03428571428571,0.124345907700675
